sex;age;sgi1;shs1;shs2;shs3;shs4;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;f1;f2;f3;f4;f5;f6;f7;f8;swls1;swls2;swls3;swls4;swls5;pwi1;pwi2;pwi3;pwi4;pwi5;pwi6;pwi7;pwi8;sgi2;adm_method
M;19;6;5;6;6;6;4;4;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;3;4;4;3;4;3;4;3;4;4;3;4;4;4;6;5;5;5;5;5;4;4;5;4;5;4;3;6;6;8;7;7;6;6;5;7;o
F;25;7;4;5;5;2;3;3;2;4;4;3;4;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;4;2;3;3;2;4;4;2;4;2;3;4;4;4;4;6;5;3;3;3;3;3;2;2;8;6;6;6;2;2;10;6;o
F;25;6;5;3;4;3;5;1;2;4;2;4;4;1;4;3;2;4;4;3;5;4;5;3;4;3;4;2;4;1;4;1;3;2;4;3;1;2;6;5;5;6;7;5;2;6;4;2;6;4;5;8;9;10;10;8;5;3;9;7;o
M;43;8;6;4;5;1;4;1;3;1;4;2;1;2;4;4;3;3;2;4;2;4;4;1;4;1;4;2;4;1;4;1;4;2;1;3;2;4;4;7;6;5;6;5;5;6;3;5;5;4;5;8;9;7;9;9;9;8;6;9;o
M;33;4;4;4;4;3;3;2;2;2;3;1;2;2;3;3;4;4;4;4;5;5;5;4;4;3;3;2;3;2;3;2;3;2;3;4;3;4;4;3;4;3;5;4;2;4;4;3;3;2;1;5;5;4;6;5;3;6;10;5;o
F;28;7;6;6;6;2;3;3;3;3;4;2;2;2;4;4;2;3;1;3;2;4;4;3;4;2;3;3;4;3;4;3;4;3;3;4;2;4;5;5;7;5;4;5;5;7;5;5;6;5;7;7;9;7;8;9;6;2;9;7;o
M;26;6;5;5;5;4;4;2;3;3;3;2;1;4;2;2;3;3;2;3;3;3;2;2;3;1;3;4;3;3;4;3;3;2;1;2;3;3;5;5;6;5;5;5;2;5;3;2;3;2;2;6;7;4;6;7;6;4;5;5;o
F;44;6;4;4;6;5;3;3;3;3;3;4;2;2;3;2;4;3;1;3;3;4;3;3;3;2;2;4;2;4;2;3;2;1;1;2;3;2;2;3;6;5;5;5;3;4;3;3;4;4;3;6;6;6;9;7;5;2;5;5;o
F;21;6;5;4;4;5;4;3;3;3;4;2;3;3;3;2;2;5;4;3;2;3;5;3;3;3;3;3;4;2;3;2;3;3;3;3;2;2;4;5;4;4;6;6;4;6;4;5;5;5;3;7;7;7;6;5;5;2;6;8;o
F;21;3;4;4;4;5;3;1;1;2;5;1;1;1;3;4;5;3;5;3;5;3;4;4;4;1;5;1;5;1;5;1;5;1;1;5;1;5;1;7;7;7;6;5;5;4;1;1;2;4;1;4;8;8;10;7;9;4;0;2;o
F;24;7;5;3;3;5;3;2;3;4;5;2;2;2;2;3;4;3;1;3;3;4;3;4;3;2;3;3;3;2;3;3;4;4;1;2;3;2;5;2;6;4;6;6;4;1;4;2;3;4;2;5;2;9;4;3;3;4;1;7;o
F;20;7;6;5;4;1;5;4;3;2;5;1;1;1;5;3;5;5;3;5;3;5;5;4;5;1;4;3;4;2;4;2;4;2;3;4;3;3;6;5;6;4;7;7;7;7;6;5;6;4;6;7;10;9;7;5;10;1;1;7;o
M;58;7;5;5;5;3;4;2;3;2;3;2;3;2;3;4;2;4;1;3;2;3;3;2;3;2;4;2;4;2;3;2;3;2;2;3;3;3;5;3;5;6;6;6;5;5;3;3;5;6;3;7;7;7;4;4;6;6;6;7;o
F;32;8;6;6;6;3;5;2;3;2;3;1;1;3;4;2;3;3;1;3;2;3;3;2;3;2;3;2;4;2;4;1;3;3;2;3;1;3;6;5;6;4;4;6;6;5;5;5;6;5;5;7;9;8;7;8;7;7;7;8;o
M;40;5;4;4;3;5;5;3;3;3;4;2;3;3;4;5;4;4;3;3;5;4;4;4;3;3;4;2;4;2;4;2;4;2;3;3;3;3;5;4;6;4;5;5;5;6;4;4;4;4;3;5;5;5;5;5;5;5;5;5;o
M;15;2;3;2;3;6;4;4;1;1;1;4;3;1;1;3;3;1;1;4;5;2;1;4;1;3;2;4;2;3;2;4;2;4;3;3;5;1;1;5;1;5;1;1;1;2;1;1;2;1;1;2;0;0;6;1;0;0;0;1;o
M;21;8;6;5;4;5;4;2;3;4;2;1;3;3;3;4;3;4;3;3;3;4;4;3;4;3;3;3;4;2;3;3;3;3;3;3;2;3;6;5;5;5;6;6;3;6;4;4;5;4;6;8;9;9;7;7;7;5;6;6;o
F;21;8;6;7;6;1;4;1;4;1;4;1;1;1;4;4;3;2;1;3;2;3;3;1;4;1;5;2;5;2;5;2;5;2;1;4;2;4;6;7;6;7;7;7;7;6;6;6;6;5;7;9;10;8;9;10;10;9;3;9;o
M;36;10;7;7;7;1;5;1;3;1;5;1;1;1;5;4;1;5;2;5;1;5;5;1;5;1;5;1;5;1;5;1;5;2;1;5;1;5;7;7;7;7;7;7;7;7;7;7;7;7;7;10;10;10;10;10;10;10;10;10;o
M;22;8;6;7;7;3;3;1;2;1;5;3;1;3;3;5;4;4;2;2;3;5;5;2;4;1;3;3;4;4;4;4;4;4;2;3;5;5;7;6;7;7;7;7;7;6;5;6;6;5;7;8;7;8;8;10;5;6;0;9;o
F;27;1;5;4;4;7;5;5;3;5;3;3;5;1;5;4;1;3;3;3;3;4;4;2;4;3;4;3;4;3;3;3;4;4;2;3;3;2;7;7;6;4;7;7;3;6;3;2;3;3;1;2;2;3;7;5;5;0;7;5;o
F;21;6;5;4;5;6;5;3;3;4;3;2;3;3;4;4;2;4;3;5;2;4;4;3;4;2;3;3;3;3;3;4;3;2;2;2;3;3;7;5;6;6;7;4;6;6;4;5;5;5;5;9;9;9;9;8;9;7;8;7;o
F;22;2;3;3;1;5;1;4;1;2;2;1;2;3;1;1;5;1;2;1;5;1;3;4;1;5;3;4;2;1;2;2;3;5;4;4;3;2;4;3;5;4;4;4;3;4;2;1;1;1;1;3;3;3;3;2;2;2;2;1;o
F;22;7;4;4;4;3;3;1;2;2;2;1;1;1;3;1;2;4;1;4;1;4;4;1;3;1;3;4;1;1;4;4;4;3;1;4;3;3;5;4;6;6;4;7;7;7;6;4;6;4;6;6;7;7;8;8;8;7;6;6;o
F;20;7;4;4;4;4;4;5;3;2;3;1;2;1;2;1;2;3;1;3;2;4;4;2;4;3;4;3;4;2;4;2;1;4;4;4;3;2;6;4;6;4;5;7;6;4;4;4;4;4;4;7;10;7;2;2;3;0;6;6;o
F;21;7;6;7;4;6;5;2;3;1;4;1;1;1;4;4;3;2;1;4;2;5;3;1;4;1;4;2;5;1;4;2;4;2;2;4;2;4;7;7;6;7;6;7;7;7;6;5;6;5;1;6;9;8;9;8;0;6;0;7;o
F;20;7;6;5;6;2;3;2;4;2;3;1;2;1;4;3;2;3;3;2;2;3;3;1;3;2;4;1;4;1;4;1;4;2;1;4;2;3;4;5;6;4;3;5;5;5;5;4;5;2;2;6;8;6;7;7;4;2;5;7;o
F;20;7;5;5;4;2;3;2;3;2;3;1;2;1;4;3;2;3;1;3;2;4;3;2;4;1;4;2;4;3;4;1;4;3;1;4;3;4;5;6;6;6;6;6;5;6;5;4;5;5;4;7;8;7;7;7;7;5;5;8;o
F;23;4;5;3;3;4;2;3;3;3;2;5;3;2;2;1;4;1;1;1;5;3;3;4;2;4;1;4;4;2;3;2;2;4;2;3;2;1;2;4;3;5;4;3;1;4;3;2;2;2;5;3;6;5;6;3;5;1;5;5;o
M;21;5;4;3;2;5;2;4;3;3;2;3;4;4;3;4;4;3;5;2;4;3;3;4;2;5;2;4;3;4;4;3;2;3;4;3;4;3;2;3;3;4;4;5;2;2;1;2;2;1;1;8;2;3;1;2;0;0;0;3;o
M;23;4;1;1;1;7;3;5;3;5;1;3;3;1;1;1;5;3;5;1;5;1;3;5;3;5;1;5;5;1;1;5;1;5;5;1;5;1;3;1;4;7;1;3;1;1;3;1;1;1;1;4;10;6;4;0;0;0;6;0;o
F;20;7;5;4;4;5;5;2;3;3;4;1;2;1;3;3;4;5;1;4;4;5;5;2;4;2;1;4;3;2;3;2;2;4;2;3;3;2;5;5;6;5;7;5;5;5;4;3;4;3;3;6;6;9;8;3;8;7;2;7;o
F;23;3;3;3;1;6;2;5;2;3;2;4;4;3;2;2;5;1;4;2;5;3;2;5;2;4;1;5;2;4;3;3;3;4;3;2;5;2;2;2;2;2;2;2;2;2;2;2;3;2;1;10;6;1;1;2;1;1;1;1;o
F;25;8;5;7;6;1;4;1;3;2;3;1;1;1;4;5;4;3;1;2;2;4;4;3;5;1;5;2;4;2;4;2;4;1;1;4;3;3;3;6;5;4;7;7;7;7;7;5;5;5;4;8;6;6;9;9;9;3;1;9;o
M;23;6;3;3;2;6;2;4;3;4;3;3;4;3;2;3;3;1;2;2;4;2;2;4;2;4;3;3;4;1;2;3;2;3;2;2;4;2;2;3;3;4;5;4;1;3;3;2;3;4;1;2;3;2;4;2;0;0;0;3;o
F;23;8;6;6;4;5;5;2;3;3;2;3;4;2;4;4;5;4;2;3;5;4;5;1;3;2;4;3;4;2;4;1;4;2;4;4;2;3;5;7;6;4;6;7;3;6;4;4;5;6;3;8;10;9;10;9;9;4;8;8;o
F;22;7;5;4;5;6;3;5;2;5;4;1;5;1;2;1;4;2;2;2;5;5;5;5;5;5;1;5;5;1;3;5;1;5;5;5;5;3;5;5;5;4;5;7;4;1;1;1;4;1;3;8;6;5;4;8;10;6;7;6;o
F;26;7;5;4;3;2;4;1;3;3;4;1;1;2;4;5;2;5;1;3;3;4;5;3;5;2;5;1;4;1;4;1;4;2;1;3;2;3;7;5;6;4;7;6;4;5;4;3;5;6;6;7;6;9;9;7;5;6;4;8;o
F;22;5;4;4;6;1;4;2;5;1;3;1;1;1;4;5;3;3;5;5;2;4;4;4;4;1;4;1;3;1;5;1;3;3;1;5;1;4;5;6;6;4;6;7;3;7;5;4;5;7;7;7;10;8;8;5;0;0;10;7;o
F;21;8;6;7;6;2;4;2;4;3;4;2;2;3;4;4;5;4;2;3;4;5;4;3;5;2;4;2;4;2;4;2;5;1;2;4;3;4;6;7;7;6;6;7;6;6;6;6;6;6;6;8;8;8;10;10;9;9;8;9;o
F;27;3;4;4;3;3;5;3;2;2;3;1;3;1;3;4;2;4;1;3;3;4;4;2;4;2;4;3;4;2;3;1;3;2;2;1;1;3;5;6;6;4;6;6;5;6;5;3;4;5;6;2;4;8;9;7;5;0;0;6;o
F;33;0;1;3;4;2;5;5;1;5;5;1;3;1;2;4;1;5;1;3;3;5;5;1;5;3;4;4;4;2;4;1;1;5;3;2;3;2;7;7;7;4;6;4;1;6;1;3;3;3;1;2;8;0;10;4;2;0;2;2;o
M;27;6;4;3;3;4;3;3;2;3;2;2;3;1;2;2;4;2;1;2;3;2;3;2;2;2;2;3;3;3;3;3;3;3;2;3;2;2;3;4;3;4;4;4;2;6;3;1;4;3;1;7;7;6;7;6;5;4;5;6;o
F;25;8;7;7;5;2;5;1;4;3;5;1;3;2;4;5;3;4;1;1;5;5;5;4;5;3;5;1;4;1;5;1;5;1;1;5;2;5;5;6;7;7;7;7;6;6;7;4;6;7;7;7;7;9;10;7;6;6;7;9;o
F;27;2;3;3;1;7;5;5;1;2;2;2;3;1;1;2;4;3;3;3;5;5;5;5;3;3;2;5;3;3;2;4;2;4;4;2;5;2;1;1;2;1;2;4;1;3;1;1;1;3;1;2;8;5;0;6;0;0;9;1;o
F;23;8;6;5;3;6;3;3;3;1;2;1;2;1;2;2;4;3;3;3;3;2;3;3;2;3;4;3;4;3;4;1;3;2;2;3;2;3;3;3;5;6;5;7;5;6;6;7;6;6;4;10;10;8;9;10;8;5;0;5;o
F;24;5;5;5;5;2;4;5;3;4;4;3;4;1;4;4;4;4;1;3;1;3;3;4;5;3;3;2;3;1;3;3;3;3;4;4;1;2;6;6;6;6;4;6;1;5;1;1;2;2;2;5;9;5;8;7;5;0;2;6;o
F;19;7;6;5;4;2;5;2;2;4;1;1;1;1;4;4;4;2;1;1;3;4;4;2;4;1;2;4;4;2;3;3;2;2;4;3;2;2;4;5;5;5;5;5;5;5;4;5;5;5;3;6;8;6;8;8;5;2;0;7;o
F;24;7;6;5;5;2;5;2;4;4;4;2;3;1;5;3;2;4;1;4;3;4;4;2;4;2;4;2;4;1;4;1;4;3;3;4;3;4;5;5;6;6;6;6;5;6;5;3;4;3;2;6;8;7;8;6;6;5;5;7;o
M;19;4;5;4;2;6;3;2;3;2;3;2;2;2;2;2;1;2;2;2;2;3;2;1;2;1;2;3;4;4;2;3;2;5;3;2;5;1;4;3;2;3;5;4;4;5;2;2;1;1;4;5;6;2;1;4;5;5;8;3;o
F;25;6;6;6;5;2;5;1;4;3;4;1;3;2;4;4;2;3;2;3;1;3;4;2;4;2;4;2;5;1;5;1;4;2;1;5;2;4;5;6;7;6;7;7;7;6;6;6;6;6;7;10;10;6;9;9;10;9;5;10;o
M;28;1;4;4;4;4;4;5;2;5;4;4;4;2;3;5;3;4;1;4;5;3;3;5;1;5;3;3;2;2;3;4;3;2;1;3;4;3;3;6;4;6;7;7;4;6;3;5;5;2;4;7;7;6;8;8;9;0;2;6;o
M;23;5;4;4;3;4;3;2;3;2;3;1;1;2;3;3;3;3;1;2;3;4;5;2;3;2;3;3;5;2;3;2;3;3;1;3;3;3;5;4;5;6;7;6;5;5;4;3;4;4;5;5;6;5;5;6;5;4;4;5;o
F;23;8;7;7;7;2;5;2;4;3;1;4;1;1;5;5;4;2;4;5;4;4;2;4;5;2;5;3;5;2;5;2;5;3;1;5;2;4;6;6;6;5;4;7;7;6;5;6;6;7;7;10;10;7;10;3;3;6;10;9;o
M;36;7;6;5;5;2;3;2;2;2;4;2;3;1;2;2;4;2;4;2;4;3;2;4;2;4;2;3;3;3;3;3;3;3;3;3;3;3;4;2;4;4;2;4;3;3;4;4;4;3;2;6;6;5;7;6;5;5;9;6;o
F;23;6;5;5;1;2;5;3;3;3;3;3;4;2;4;4;3;4;3;4;3;4;4;4;4;3;4;2;3;3;2;4;2;4;2;4;3;3;6;6;6;6;6;6;4;6;5;4;4;4;4;6;7;6;6;6;6;6;7;6;o
M;25;7;5;4;5;3;5;3;3;2;4;2;3;4;4;4;3;5;3;2;2;5;4;3;3;2;4;2;4;1;4;2;4;2;3;4;1;4;6;5;7;5;6;6;4;6;5;5;4;4;3;7;5;8;7;6;5;5;6;6;o
M;23;4;3;4;3;6;2;4;1;4;3;1;4;3;2;4;4;2;2;3;3;3;3;4;2;4;2;5;2;4;2;4;2;4;4;2;3;1;3;1;1;2;4;3;1;5;2;5;1;1;1;6;4;4;1;4;4;3;6;4;o
F;20;8;6;5;5;1;4;1;4;1;3;1;2;2;4;1;2;2;5;4;3;3;3;2;4;2;4;2;5;1;4;1;4;2;3;4;3;3;6;6;6;6;6;7;5;6;6;6;6;7;7;6;7;9;10;9;10;6;6;9;o
F;24;7;7;4;4;4;2;1;4;1;3;1;3;1;4;3;2;3;3;3;3;5;3;3;3;3;5;1;5;1;4;1;5;3;2;5;2;3;5;4;7;6;6;6;7;4;4;5;5;5;2;7;7;7;10;10;4;4;4;7;o
F;20;8;6;5;5;1;4;1;4;1;3;1;2;2;4;1;2;2;5;4;3;3;3;2;4;2;4;2;5;1;4;1;4;2;3;4;3;3;6;6;6;6;6;7;5;6;6;6;6;7;7;6;7;9;10;9;10;6;6;9;o
F;22;8;5;5;5;1;4;1;4;1;4;1;2;1;4;5;2;4;1;3;2;5;4;1;4;1;4;1;4;1;4;1;4;1;1;4;1;4;5;5;4;5;6;6;6;5;4;4;5;5;6;8;10;8;8;8;9;8;6;8;o
F;23;6;6;5;4;2;4;2;4;2;5;2;2;1;4;4;2;4;1;2;2;5;4;1;4;2;3;4;3;2;3;2;3;3;1;3;3;2;4;6;5;4;6;4;5;7;1;1;3;2;1;3;10;8;8;2;6;3;0;5;o
F;22;8;6;6;4;1;3;2;4;1;3;3;2;1;4;3;2;3;2;2;2;3;4;2;3;1;4;2;4;1;4;1;5;2;2;5;2;4;4;6;5;6;4;6;5;6;6;5;6;5;7;7;9;8;9;8;8;4;8;8;o
F;31;7;5;5;6;6;5;3;3;3;4;3;2;3;4;4;3;3;2;4;3;4;4;3;4;3;4;2;4;2;4;3;3;3;2;3;3;4;5;5;5;6;5;6;6;5;6;3;5;4;3;7;7;7;7;6;4;4;5;7;o
M;22;7;5;4;4;4;4;4;4;3;3;3;2;3;3;5;5;2;2;2;3;4;3;3;2;2;3;2;3;2;3;2;3;2;2;3;3;4;5;5;5;5;6;5;5;6;5;5;5;4;3;9;7;7;6;6;7;6;5;6;o
F;33;6;4;4;1;7;4;5;2;3;1;2;5;3;2;1;4;1;2;3;5;1;2;5;1;5;2;4;2;4;2;4;3;4;5;1;4;3;1;1;2;2;2;4;1;4;1;2;1;2;1;4;6;1;1;6;0;0;0;2;o
F;26;6;6;5;6;6;4;5;3;3;4;3;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;5;4;3;4;3;4;4;4;4;4;5;5;5;4;7;6;6;5;6;5;4;4;4;4;4;7;5;8;6;6;1;5;6;o
F;23;7;5;3;6;2;4;1;4;2;4;2;1;2;5;5;3;4;2;4;4;5;5;2;4;1;4;2;4;2;5;2;5;2;1;3;3;4;5;5;6;6;6;6;4;6;4;2;5;4;2;6;9;7;7;9;9;5;5;7;o
F;22;8;7;5;7;2;5;2;3;1;4;1;2;2;5;3;3;5;4;3;3;5;5;2;4;4;4;2;4;2;4;2;4;2;4;4;3;5;7;6;7;7;6;7;7;5;6;5;7;7;7;8;7;9;8;10;10;1;5;8;o
M;23;7;5;4;2;4;3;4;2;4;3;1;2;1;2;3;4;4;1;2;5;4;4;4;3;3;4;3;4;2;4;2;4;2;3;2;2;3;3;2;7;5;7;5;4;7;5;7;5;4;6;10;10;7;5;6;3;3;8;7;o
F;24;8;6;6;4;6;5;3;2;3;3;1;3;1;4;5;5;5;3;4;5;5;5;5;5;5;4;3;4;3;3;3;4;3;5;3;5;4;4;3;4;6;6;5;4;3;3;3;4;3;1;8;6;6;6;8;6;6;10;9;o
M;27;3;4;4;4;4;3;3;2;2;5;1;2;1;1;2;1;2;1;1;2;5;3;1;3;1;3;3;3;1;3;2;3;1;1;1;3;2;3;4;3;3;7;5;4;5;1;1;2;1;6;0;9;5;4;0;2;0;0;0;o
F;26;6;6;6;5;2;5;1;3;2;4;1;1;1;3;4;1;3;2;2;1;3;4;1;3;2;4;2;3;1;4;1;5;2;1;3;2;5;5;5;6;6;7;7;4;7;5;6;6;6;5;6;10;7;7;8;7;6;2;6;o
F;24;7;5;6;4;4;5;3;3;3;3;2;2;2;5;4;2;4;2;3;3;4;4;2;5;2;4;3;4;2;5;2;4;3;1;5;3;5;7;7;7;6;7;7;5;6;6;3;4;7;6;6;10;10;10;7;8;4;2;10;o
F;26;8;7;7;5;1;5;1;4;2;3;2;3;1;4;2;2;4;1;5;2;5;5;2;4;2;5;5;5;2;5;3;4;4;1;5;3;4;7;7;7;7;6;6;5;5;5;5;6;5;4;10;8;9;10;10;9;2;7;9;o
F;21;7;6;6;4;5;5;4;2;2;3;1;2;2;1;1;3;2;4;2;3;2;2;2;4;1;4;2;3;3;3;2;4;2;1;4;2;2;3;1;2;1;5;4;3;3;2;2;2;2;1;4;2;3;0;6;0;0;0;4;o
M;28;0;6;6;1;1;5;1;1;1;5;1;1;1;5;5;1;5;1;3;3;5;5;3;3;1;5;1;5;1;3;1;3;3;1;3;1;3;6;6;6;6;6;6;6;3;3;3;3;3;1;5;5;0;5;5;0;0;9;2;o
F;22;8;7;5;6;2;5;2;4;2;4;1;1;2;4;4;2;4;1;5;2;4;4;2;4;1;5;1;5;2;5;1;4;2;1;4;3;4;6;3;7;6;5;6;5;6;5;4;5;4;4;6;9;8;5;8;6;6;6;8;o
F;23;6;6;3;2;6;3;4;2;5;2;1;3;1;2;3;3;1;4;1;4;1;5;4;1;3;3;4;5;1;2;1;3;4;2;3;3;2;3;5;1;4;5;6;1;2;1;1;5;4;1;3;0;7;8;8;5;0;1;5;o
F;22;7;5;4;4;7;5;5;4;5;3;3;4;4;3;3;5;4;3;3;5;5;4;5;3;4;3;4;4;4;3;4;4;4;2;2;3;2;6;2;5;4;5;4;3;4;3;3;3;2;1;5;5;5;0;1;0;0;0;2;o
M;27;8;6;7;3;4;4;2;3;1;3;1;2;4;4;5;3;3;1;3;4;5;4;2;3;1;4;2;3;2;4;2;3;2;1;3;3;4;6;4;4;4;6;6;7;4;6;6;6;7;5;10;9;10;7;8;4;8;9;8;o
F;20;7;4;3;3;6;2;4;2;4;3;2;2;4;2;5;5;1;1;1;4;1;1;4;1;2;3;3;3;3;3;3;3;3;1;1;3;2;2;3;1;4;4;3;2;5;1;2;1;1;1;6;10;1;3;0;0;0;5;0;o
F;22;6;7;7;6;1;2;3;3;2;5;1;1;1;3;5;3;4;1;1;1;2;3;1;3;1;3;5;5;1;4;2;3;3;1;3;1;3;7;1;1;1;6;7;7;6;6;4;5;4;2;3;8;10;0;10;4;10;10;10;o
F;50;5;4;4;4;3;4;2;3;3;3;1;2;1;3;3;3;3;1;3;3;3;3;3;3;3;4;3;4;1;3;2;3;2;3;3;3;3;4;4;5;4;5;5;4;4;5;2;4;4;4;5;5;5;5;5;5;4;0;4;o
F;24;2;3;3;5;6;3;3;2;3;3;1;1;3;2;5;5;2;4;2;5;3;2;5;3;4;2;3;2;3;2;3;2;3;3;2;3;1;2;2;2;2;2;3;3;3;1;1;1;1;1;0;3;0;0;2;1;1;7;4;o
F;31;4;3;4;3;5;5;4;3;3;4;2;4;1;3;3;3;3;2;2;4;3;5;4;5;5;2;5;4;3;3;3;2;5;5;2;3;2;5;3;6;6;4;4;1;5;5;3;3;2;1;0;8;6;7;5;6;0;10;6;o
F;22;8;6;6;4;5;5;3;4;3;4;2;2;3;4;2;3;3;2;4;3;3;5;2;4;2;5;3;4;3;4;3;4;4;2;4;3;4;7;6;6;7;7;6;5;7;5;5;5;5;6;7;8;6;9;6;7;7;8;9;o
F;27;7;6;4;3;2;3;3;3;3;2;1;2;1;3;4;2;3;1;3;2;4;4;3;3;2;3;3;3;2;3;2;3;2;2;3;2;3;5;5;5;4;5;5;4;4;5;4;5;5;4;5;8;7;6;4;5;2;8;6;o
F;24;7;6;6;5;5;4;4;3;1;2;1;1;2;3;3;5;5;2;3;5;4;4;3;4;1;3;4;3;3;2;3;4;4;1;2;4;3;5;3;4;3;4;6;3;4;2;1;3;5;3;5;7;7;5;7;6;0;0;4;o
F;27;8;7;6;6;1;4;1;3;1;2;1;1;1;4;4;2;3;3;3;3;3;3;3;4;1;4;2;4;1;4;1;4;3;1;3;3;3;6;6;5;6;6;6;5;6;6;5;7;6;5;6;8;6;9;9;9;6;5;9;o
F;23;6;5;4;3;4;4;3;2;3;3;3;3;2;4;2;3;3;2;2;3;2;3;3;4;3;2;4;2;1;3;3;2;2;4;2;2;2;5;5;5;5;4;4;3;6;3;4;4;5;3;8;10;10;7;6;5;5;5;6;o
M;45;6;5;4;3;6;2;5;2;5;4;2;5;2;2;5;4;2;1;2;4;3;3;5;3;5;2;4;3;3;3;3;3;4;4;2;4;3;3;5;5;4;5;5;4;6;5;4;4;4;3;6;8;6;8;7;6;6;8;7;o
F;20;8;6;1;2;7;4;4;2;4;2;2;3;2;2;3;3;3;4;2;4;2;3;3;2;2;1;5;1;5;1;5;1;5;3;1;4;1;4;1;2;2;2;3;4;3;4;5;3;3;2;7;9;6;0;10;1;2;7;6;o
F;22;7;5;3;5;2;2;2;1;3;3;1;3;2;1;3;3;3;1;5;3;3;5;3;3;2;3;2;3;2;4;3;3;4;1;1;3;2;4;3;5;4;6;6;1;6;5;4;5;3;2;6;6;7;10;6;5;3;0;7;o
