sex;age;sgi1;shs1;shs2;shs3;shs4;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;f1;f2;f3;f4;f5;f6;f7;f8;swls1;swls2;swls3;swls4;swls5;pwi1;pwi2;pwi3;pwi4;pwi5;pwi6;pwi7;pwi8;sgi2;adm_method
M;27;4;3;4;2;5;4;4;4;5;3;2;4;4;3;3;4;3;1;2;3;3;4;4;3;4;3;4;2;4;3;4;3;3;4;2;4;3;3;4;3;3;5;5;5;6;2;4;3;4;2;4;8;6;4;6;3;4;0;5;o
F;21;9;5;6;6;3;3;2;3;2;4;1;1;1;4;4;1;3;1;4;3;3;3;3;3;1;3;1;3;1;3;1;2;1;1;3;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;7;7;7;7;7;7;7;7;7;o
F;25;7;6;5;6;6;5;3;4;2;5;3;1;1;4;1;3;4;1;5;3;5;4;2;5;1;3;4;3;4;3;5;2;5;3;2;3;2;7;5;7;6;6;6;5;5;6;2;5;5;6;7;7;8;7;7;8;6;6;6;o
M;25;7;6;5;6;2;4;2;3;2;3;1;2;1;4;3;1;4;1;3;3;4;3;2;5;1;4;2;4;2;4;2;4;1;2;4;1;4;5;7;7;5;7;7;5;7;7;5;7;7;5;9;9;9;10;8;10;7;10;9;o
F;22;7;5;3;3;6;5;3;1;4;2;3;3;1;4;2;5;2;3;3;4;2;4;5;3;3;2;4;3;3;2;4;3;3;2;2;4;2;3;6;4;6;3;4;3;4;3;1;3;2;1;1;3;9;9;2;1;0;6;5;o
F;21;6;3;1;1;3;2;5;3;5;2;3;5;5;3;5;5;5;5;2;5;3;3;5;1;5;3;4;4;3;3;2;1;5;5;3;5;3;2;3;3;1;3;4;1;5;1;1;1;2;2;2;1;4;2;1;3;0;0;0;o
M;23;5;3;1;1;7;5;5;3;4;5;2;3;4;2;5;5;5;4;5;4;5;5;4;3;4;2;4;3;3;2;4;2;4;2;2;4;3;7;2;7;2;7;4;3;6;4;3;2;3;2;5;7;6;2;2;1;1;1;3;o
F;23;6;5;5;4;2;4;2;4;2;4;1;2;3;4;4;3;4;2;4;3;4;4;2;4;2;4;2;4;3;4;2;4;3;2;4;3;4;6;5;5;6;5;5;6;5;4;4;4;4;5;8;8;7;7;6;7;5;6;7;o
F;24;4;4;6;4;3;4;3;2;1;1;1;3;1;3;2;1;4;1;2;3;2;4;1;3;2;2;3;4;1;2;2;2;3;2;2;2;2;4;5;5;6;5;5;3;5;4;1;2;3;1;1;3;3;5;1;1;0;2;4;o
F;25;9;6;5;5;3;1;5;2;2;1;1;3;1;4;3;2;5;2;1;1;3;5;5;4;4;4;3;4;1;5;1;4;1;5;4;1;3;4;1;6;2;5;7;2;1;5;7;5;4;2;10;2;5;1;0;1;0;0;7;o
F;20;7;5;5;5;2;4;1;3;2;4;1;2;2;4;3;3;4;2;1;3;5;5;3;4;2;3;4;2;4;3;3;2;4;1;2;5;2;6;5;6;4;5;6;5;5;4;6;5;5;5;8;8;8;7;9;8;6;6;7;o
F;21;8;6;5;3;3;5;4;3;2;4;1;2;1;5;5;4;3;1;5;3;4;4;4;3;2;4;2;4;4;4;2;5;3;1;5;2;4;7;4;4;4;6;7;7;6;5;7;6;4;7;8;9;7;10;6;2;8;2;8;o
F;28;8;6;5;6;2;4;3;4;2;4;2;3;1;5;3;3;2;1;3;3;2;3;4;4;1;4;1;4;2;3;2;4;1;1;4;3;3;4;3;6;6;7;6;5;3;2;5;5;3;2;8;6;4;2;8;2;7;8;8;o
F;25;7;6;5;6;6;5;3;4;2;5;3;1;1;4;1;3;4;1;5;3;5;4;2;5;1;3;4;3;4;3;5;2;5;3;2;3;2;7;5;7;6;6;6;5;5;6;2;5;5;6;7;7;8;7;7;8;6;6;6;o
F;21;8;6;6;5;4;4;2;3;3;3;1;2;2;3;2;4;4;2;4;3;4;4;2;4;2;4;2;4;3;4;2;3;2;1;4;3;4;6;6;6;6;6;6;6;6;6;5;6;6;6;8;8;8;8;8;8;8;7;8;o
F;24;4;4;4;3;5;4;3;3;3;2;1;2;1;2;2;2;3;1;2;2;2;4;3;3;2;2;3;4;1;4;2;1;3;3;3;4;2;4;2;4;5;3;5;3;6;4;1;3;3;3;6;6;5;3;5;4;2;8;5;o
F;23;7;5;5;4;3;3;2;3;2;3;2;2;1;3;3;2;4;1;3;2;3;4;1;3;1;3;2;3;2;3;2;3;2;1;3;2;3;3;5;5;6;5;6;3;6;4;4;5;5;3;7;8;7;7;7;6;4;2;6;o
F;25;8;6;7;6;1;5;2;4;1;4;1;3;3;4;5;2;4;1;4;3;4;4;3;4;2;4;3;4;2;4;2;4;2;2;4;3;4;6;4;4;3;3;4;4;6;6;6;6;6;6;10;7;8;10;10;8;7;7;8;o
M;20;10;7;6;5;2;3;2;5;3;3;2;1;3;4;4;1;3;1;4;3;4;3;2;3;1;4;2;3;2;4;2;5;2;1;4;2;3;5;4;5;6;5;7;6;5;4;1;6;5;6;1;8;8;8;5;5;1;0;7;o
F;33;5;4;5;4;4;4;2;4;3;3;1;1;2;3;1;3;3;1;3;4;4;3;3;4;1;4;2;3;2;3;1;3;2;1;4;2;3;3;3;4;5;5;4;6;5;4;4;4;5;2;2;0;5;5;5;5;4;7;5;o
M;20;0;1;1;1;7;1;5;1;5;1;4;5;4;1;1;3;1;3;1;4;1;2;5;1;5;1;5;1;5;1;5;1;5;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;1;1;0;0;1;o
M;23;6;4;5;3;6;4;4;4;4;2;1;5;4;3;5;4;4;4;2;4;4;4;4;4;5;3;4;4;2;4;4;3;2;4;3;5;3;5;6;5;6;6;6;2;4;2;3;3;2;1;4;4;8;7;4;3;1;10;6;o
F;21;7;6;6;5;2;3;2;4;1;2;1;4;1;4;2;3;2;2;2;2;2;4;4;4;4;3;3;4;1;3;1;3;3;4;4;2;2;7;7;5;7;7;7;4;4;7;6;6;5;5;8;8;7;10;6;10;2;9;8;o
F;30;3;3;3;1;7;3;4;2;3;1;3;4;3;2;2;2;3;4;2;5;1;2;5;3;4;2;5;3;4;3;4;2;4;3;3;5;2;3;3;4;2;4;3;2;2;2;2;2;4;1;4;10;4;4;4;3;3;6;2;o
F;22;8;6;4;5;4;4;2;4;2;1;1;2;3;4;2;3;2;2;3;2;4;4;2;3;2;5;1;4;1;4;1;3;2;1;4;1;4;5;6;7;5;7;6;5;6;5;5;6;7;6;7;10;9;9;9;8;8;0;8;o
M;21;7;5;4;3;4;4;2;2;3;2;3;3;1;3;3;2;4;3;3;2;3;3;3;2;2;3;3;3;3;3;4;3;4;1;3;2;2;3;3;3;4;4;4;5;4;2;2;3;2;6;5;9;4;5;2;2;2;8;5;o
F;21;6;5;5;3;4;4;2;2;2;3;2;2;2;3;4;4;4;2;3;4;4;4;4;5;2;3;4;3;2;3;3;3;2;2;3;4;2;3;6;6;6;6;4;3;6;6;2;2;6;2;5;5;7;8;8;5;3;9;7;o
F;20;5;6;6;5;6;5;2;3;2;4;1;2;2;4;4;3;3;1;4;3;4;4;2;4;1;4;3;4;3;4;3;4;3;2;4;3;3;4;6;6;5;6;6;1;4;3;3;5;6;3;8;8;8;8;5;7;0;0;9;o
F;19;7;5;4;3;1;3;3;3;1;4;1;2;2;2;4;4;4;1;1;3;5;4;3;3;1;4;3;4;3;3;1;3;3;1;3;2;3;5;5;5;4;6;6;5;7;5;2;6;5;5;7;9;10;8;9;8;1;2;8;o
M;20;6;3;3;5;4;3;2;4;4;3;1;1;2;3;2;3;2;1;1;3;4;3;3;3;1;3;3;3;3;3;3;3;3;1;2;2;2;3;3;5;5;6;4;4;3;1;2;3;3;3;3;7;6;5;3;0;3;5;5;o
F;51;7;6;5;4;3;3;2;2;2;3;1;2;1;3;2;2;3;1;3;2;3;4;2;3;1;4;2;4;2;3;2;3;2;1;3;2;3;5;4;5;4;5;4;4;5;5;4;4;4;3;7;6;7;6;7;7;6;5;7;o
F;20;8;5;4;5;5;3;4;3;4;4;1;1;1;3;3;3;4;2;2;3;3;5;3;4;1;3;3;4;1;3;2;3;3;3;2;1;4;6;6;6;5;6;7;7;6;5;6;7;6;6;7;2;7;8;7;6;6;6;8;o
F;20;5;4;5;3;2;3;1;2;2;3;1;1;1;3;2;3;3;2;4;2;3;2;1;2;1;3;3;4;2;4;2;3;2;2;1;3;3;4;6;3;1;4;6;7;6;3;4;3;3;3;4;8;5;8;6;5;3;1;5;o
F;20;5;4;5;3;2;3;1;2;2;3;1;1;1;3;2;3;3;2;4;2;3;2;1;2;1;3;3;4;2;4;2;3;2;2;1;3;3;4;6;3;1;4;6;7;6;3;4;3;3;3;4;8;5;8;6;5;3;1;5;o
F;57;4;5;5;4;1;4;1;3;4;4;2;3;2;4;2;2;3;1;3;2;4;5;2;4;1;4;1;4;1;5;2;4;2;1;5;2;2;2;6;2;4;7;6;2;7;4;3;3;3;2;2;9;7;8;1;1;1;7;5;o
F;21;8;5;5;4;1;4;2;4;3;3;1;4;1;4;5;4;4;2;3;4;5;5;3;5;1;2;5;4;1;4;1;3;4;1;1;1;3;7;6;6;6;7;6;5;7;6;5;5;7;5;5;10;9;9;5;2;2;8;8;o
M;23;6;5;5;4;6;3;3;3;3;4;2;3;4;3;3;4;3;2;3;5;4;4;3;3;2;3;2;3;3;3;3;3;3;2;3;3;3;6;4;5;4;6;4;7;6;4;4;4;4;7;5;9;8;7;5;7;7;6;7;o
F;23;6;6;7;6;2;4;3;4;2;3;2;1;1;4;4;4;3;1;4;4;4;3;4;4;4;3;4;3;2;4;4;4;3;4;4;3;3;6;5;6;6;5;6;6;5;6;5;6;6;7;7;3;8;5;8;7;3;7;7;o
F;24;5;5;4;4;2;3;2;3;1;4;2;1;2;3;4;2;3;2;3;3;3;4;2;3;1;2;3;2;3;2;2;2;3;4;2;3;2;5;4;4;4;5;4;4;4;3;2;2;3;3;3;4;5;5;4;3;3;4;4;o
M;20;8;7;6;4;3;4;2;5;3;3;2;1;1;4;5;4;2;3;5;3;5;5;3;4;2;5;1;3;1;3;1;4;1;1;3;3;3;7;4;4;5;5;5;7;6;3;6;6;1;4;8;10;7;2;9;4;6;9;9;o
F;21;9;6;4;5;5;5;2;4;3;4;1;3;1;5;3;2;4;3;4;4;5;5;3;3;2;5;2;4;2;5;1;4;2;2;3;2;4;5;6;5;4;6;5;7;4;5;3;6;3;4;5;8;8;9;4;1;8;9;9;o
F;19;6;6;5;4;4;3;2;1;1;2;1;1;2;2;3;1;2;1;1;1;2;2;1;2;1;3;3;1;4;2;4;3;2;1;3;3;1;2;3;5;3;5;6;2;4;2;3;3;2;3;5;5;6;6;6;4;4;5;6;o
M;29;3;4;3;4;1;3;1;3;3;4;1;4;4;4;4;5;4;1;3;5;4;4;4;4;4;2;4;2;4;2;4;3;4;4;3;3;3;3;2;4;2;5;5;2;6;3;1;3;2;3;5;0;2;2;10;7;7;4;3;o
F;21;8;7;6;7;1;5;2;4;2;3;2;2;1;5;1;2;4;1;3;2;5;4;3;5;2;5;2;5;1;4;2;4;1;1;5;2;4;6;6;7;7;7;6;5;6;7;6;7;6;7;8;9;10;9;7;9;6;5;9;o
F;26;4;6;6;7;2;4;2;3;2;3;2;1;1;4;2;1;3;2;4;1;5;5;2;4;1;4;1;4;1;4;1;4;2;1;4;3;2;6;6;6;5;6;5;5;6;4;4;4;4;6;5;10;5;6;8;5;5;5;5;o
F;23;6;5;5;4;5;3;2;2;2;3;2;1;1;3;3;1;3;1;3;2;3;3;2;3;1;4;2;4;3;3;2;4;3;2;2;3;3;5;5;6;5;4;6;6;5;5;5;5;6;5;7;8;7;7;6;6;5;8;7;o
F;27;7;6;6;5;5;4;1;4;1;3;2;2;1;3;4;2;3;1;2;2;4;3;2;3;2;4;2;5;1;4;2;4;3;3;4;4;3;6;7;6;6;7;4;5;6;3;4;4;5;3;5;7;6;9;8;7;5;3;6;o
F;21;8;6;5;3;6;3;2;3;1;3;1;1;1;4;4;5;2;2;3;5;5;3;4;4;1;4;2;3;2;3;2;5;2;2;4;3;4;5;4;4;4;5;6;5;5;5;5;6;7;3;7;6;8;6;7;6;4;6;9;o
F;28;9;7;6;5;2;4;2;3;2;4;1;2;2;4;2;2;3;2;3;2;4;4;2;5;2;3;3;4;2;4;1;4;1;1;4;1;3;6;6;6;4;5;6;7;6;5;6;6;7;7;8;9;10;8;6;4;2;2;9;o
F;28;9;7;6;5;2;4;2;3;2;4;1;2;2;4;2;2;3;2;3;2;4;4;2;5;2;3;3;4;2;4;1;4;1;1;4;1;3;6;6;6;4;5;6;7;6;5;6;6;7;7;8;9;10;8;6;4;2;2;9;o
F;27;7;5;4;4;2;4;3;2;3;4;1;2;2;3;4;3;3;1;2;3;5;4;3;3;3;4;4;4;3;4;3;4;4;4;3;4;3;5;6;4;5;6;7;6;4;4;4;5;4;6;7;6;7;9;8;7;7;10;8;o
F;24;7;6;6;4;2;4;3;2;2;3;1;2;4;3;3;3;4;2;2;2;3;3;1;3;2;3;3;3;3;3;3;3;3;2;3;4;2;6;5;5;5;6;6;5;4;5;5;5;5;5;8;8;7;8;7;6;6;6;7;o
F;23;9;7;6;5;1;2;3;5;1;2;1;2;1;4;2;1;4;1;3;1;5;5;3;4;1;4;1;5;1;4;3;3;3;3;4;1;5;7;7;6;4;5;7;5;5;7;7;7;7;7;10;10;10;10;10;6;4;6;9;o
F;26;7;4;4;3;3;2;4;4;4;3;4;4;4;4;2;4;1;3;3;4;2;2;3;2;2;2;3;3;3;2;3;3;2;3;3;3;2;1;3;2;3;3;4;4;3;4;3;3;3;1;3;6;5;6;4;4;4;1;4;o
F;22;2;3;3;1;1;4;5;2;4;3;1;5;2;3;3;3;4;1;2;4;4;4;4;2;4;2;4;3;4;3;3;2;4;5;2;4;2;5;3;4;3;6;4;1;6;1;3;3;5;2;1;8;8;2;0;0;0;0;2;o
F;25;6;5;4;3;6;5;5;3;4;2;3;3;1;2;1;3;2;1;3;5;2;2;4;2;4;3;4;3;4;3;4;3;4;4;3;1;3;4;2;3;5;4;5;2;3;2;5;2;4;1;6;8;6;3;1;1;3;8;6;o
F;21;7;4;4;4;4;5;2;4;3;3;3;3;2;4;4;5;3;2;3;4;2;4;3;4;2;4;2;4;2;3;3;3;3;4;4;3;5;6;3;3;7;7;4;6;6;3;3;6;3;7;5;8;3;8;5;7;9;10;9;o
F;19;6;4;3;2;6;3;4;2;2;3;2;4;1;2;3;4;2;1;1;4;3;3;4;3;4;3;4;2;4;3;3;2;5;5;3;4;2;5;5;4;6;6;4;3;4;3;2;2;4;5;7;9;10;6;5;3;4;5;6;o
F;22;5;5;3;1;7;2;5;2;5;2;2;5;3;2;1;5;2;1;2;5;3;3;5;3;5;3;4;3;3;3;3;3;3;4;3;5;2;4;3;4;4;4;4;1;1;2;2;3;5;1;2;4;4;6;5;2;0;0;5;o
F;19;7;5;4;4;4;4;3;3;3;4;3;3;3;3;3;3;4;2;4;3;4;3;3;4;2;3;2;3;2;3;2;2;2;2;3;2;3;6;6;6;5;6;5;6;6;4;4;4;4;4;7;7;7;8;9;6;6;0;7;o
F;20;7;6;5;5;2;4;1;4;1;3;1;1;1;3;3;2;3;1;4;1;3;3;2;3;1;4;1;5;1;4;1;3;1;1;4;2;4;6;6;6;5;6;7;5;5;4;3;6;5;7;8;9;8;8;8;8;6;8;9;o
F;34;8;6;5;7;2;3;1;4;3;4;2;1;2;4;4;3;4;1;4;3;4;4;2;4;1;4;2;5;2;4;1;5;2;2;5;3;4;6;7;7;6;6;7;6;6;4;4;7;6;6;6;5;9;7;3;7;5;5;9;o
F;23;7;5;5;4;2;5;2;3;2;3;1;2;2;3;5;4;3;1;3;4;4;4;3;3;2;3;3;4;3;4;3;2;4;4;3;4;3;7;7;7;6;6;7;5;7;5;3;5;6;7;7;9;8;9;8;9;3;8;6;o
F;21;4;4;5;3;3;5;1;3;2;3;2;4;2;3;4;4;2;1;3;2;4;4;2;3;3;2;3;2;3;2;3;1;4;2;3;4;2;3;1;2;5;3;5;1;1;3;1;3;2;5;5;10;6;2;2;3;0;7;5;o
M;29;5;4;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;4;3;3;2;2;3;4;3;2;4;3;2;4;2;2;2;2;2;2;8;3;4;4;4;1;0;2;o
F;20;7;6;4;5;4;3;4;4;3;3;3;3;4;4;4;4;3;3;3;4;3;3;3;3;3;4;3;3;2;3;2;4;2;2;3;2;3;3;2;3;3;4;6;5;4;4;4;5;5;4;4;7;5;4;5;4;2;7;4;o
M;24;5;5;3;5;6;5;2;4;3;3;1;2;2;4;4;2;4;1;3;2;3;3;1;5;1;4;1;4;1;5;1;4;2;1;3;2;3;4;5;4;6;7;6;5;6;3;1;3;2;1;2;6;4;7;6;5;4;10;6;o
F;24;4;2;3;5;5;3;5;2;4;4;1;5;4;2;1;3;3;4;4;4;1;2;4;2;4;2;1;5;1;2;2;2;5;3;2;4;1;2;1;3;6;6;5;6;1;2;1;1;1;5;5;1;2;0;2;0;0;0;0;o
F;20;7;5;5;3;6;3;3;2;3;2;4;3;3;2;2;4;2;4;3;4;2;4;4;2;3;3;3;2;3;2;3;3;3;3;3;3;2;5;3;3;3;5;5;4;4;5;4;4;5;3;7;7;7;4;9;9;6;9;7;o
F;20;6;6;3;4;1;5;2;4;2;5;1;1;4;5;5;5;5;3;2;3;5;5;2;4;1;4;3;4;3;5;2;4;3;1;5;3;5;7;6;7;2;7;6;7;7;6;2;3;7;3;2;9;10;6;0;0;9;8;8;o
F;23;10;7;7;7;1;4;1;3;1;3;2;1;1;5;3;2;4;1;5;1;5;4;1;5;1;5;1;4;1;4;1;5;1;1;5;2;4;6;5;5;6;5;5;7;6;5;5;7;7;6;7;9;9;10;10;9;9;8;10;o
F;21;7;6;5;5;3;3;2;3;1;3;1;1;1;3;3;2;3;1;2;2;4;3;2;3;2;4;3;4;2;4;2;4;3;1;4;3;4;6;6;6;5;6;6;5;6;5;5;6;5;6;8;8;8;7;7;8;5;5;9;o
F;22;6;5;5;5;3;4;3;4;2;3;1;3;2;3;2;4;4;2;3;3;4;4;4;3;2;3;3;4;2;3;2;3;2;4;3;4;2;3;5;4;6;5;6;5;6;3;3;3;2;2;6;8;6;5;5;1;2;0;6;o
F;24;6;5;6;3;3;2;2;3;3;4;2;2;1;3;1;1;4;1;3;2;4;5;3;5;1;4;2;4;2;3;1;4;3;1;3;2;4;6;6;7;6;6;6;5;7;4;5;5;7;4;6;10;6;8;10;6;0;4;6;o
M;33;4;3;3;3;3;3;3;2;2;2;2;3;3;3;3;2;2;2;3;3;3;3;4;4;4;1;2;2;3;3;3;4;4;4;3;3;3;3;3;2;2;3;4;3;3;3;3;3;3;3;3;4;3;3;6;6;6;5;5;o
M;23;1;2;2;1;3;2;2;2;3;1;3;2;3;2;3;1;2;2;1;2;2;3;1;1;2;2;4;2;4;2;4;2;3;3;2;3;1;1;1;1;2;6;4;1;5;2;1;1;1;1;1;8;5;0;1;0;0;2;1;o
F;19;7;6;4;1;6;5;2;4;3;2;2;5;1;3;5;5;1;3;1;4;1;3;2;3;5;2;5;3;1;4;5;2;1;5;3;2;1;3;1;7;7;7;6;1;1;1;1;3;1;1;5;7;5;0;4;10;5;0;7;o
F;25;7;6;6;6;5;2;2;2;2;3;1;1;1;2;3;3;3;1;2;2;3;3;1;3;1;2;1;3;2;3;2;3;2;1;3;2;3;4;6;6;6;6;6;4;6;2;5;4;3;2;4;4;4;4;4;4;4;4;4;o
F;21;7;5;5;1;6;5;1;3;2;2;1;3;1;3;3;5;3;1;5;4;5;4;3;4;3;3;3;3;3;4;2;3;3;4;2;3;3;1;3;4;4;5;4;3;1;1;6;2;2;2;9;9;7;6;8;8;4;7;6;o
F;17;5;6;5;6;3;3;1;2;4;3;1;2;1;3;3;3;2;1;1;4;3;2;4;4;2;3;2;4;1;2;1;4;4;1;3;3;2;2;1;4;4;3;5;7;5;1;3;3;2;1;5;7;5;8;1;1;2;3;2;o
F;22;7;4;5;4;7;5;2;3;1;2;1;5;1;4;3;5;4;1;1;2;4;4;1;2;1;5;1;5;1;4;1;5;1;1;5;3;4;4;5;5;5;3;4;1;3;1;1;2;3;1;5;4;7;9;2;10;0;1;0;o
F;23;8;6;6;5;4;4;3;4;4;4;1;2;2;4;4;4;4;1;3;4;4;4;4;4;2;4;3;4;3;4;3;4;3;4;4;3;4;7;7;7;6;6;6;4;5;6;4;5;7;6;8;9;9;9;10;5;0;0;9;o
F;41;5;6;7;7;1;4;1;3;1;3;2;1;1;5;4;3;2;2;4;2;3;3;1;4;2;4;3;4;3;4;3;4;2;1;4;4;3;6;5;7;7;7;6;6;5;5;3;4;4;6;4;0;6;5;4;5;5;3;6;o
F;25;8;5;5;3;5;4;1;2;2;1;2;2;1;3;2;2;3;3;2;3;4;4;2;2;2;4;3;4;2;4;2;3;3;2;3;2;3;6;6;5;6;5;4;5;4;5;5;4;3;2;9;9;6;7;8;7;3;5;9;o
M;50;6;6;7;5;5;4;1;3;2;3;1;1;1;3;3;1;3;1;3;1;3;4;1;4;1;5;1;4;1;3;1;4;1;1;5;1;4;3;4;6;6;6;6;3;4;6;4;6;4;4;7;6;6;6;5;5;5;7;8;o
F;26;6;5;4;6;2;5;2;3;2;3;1;5;1;4;5;5;3;3;4;4;3;5;2;3;3;4;3;4;3;5;2;4;4;5;5;2;4;4;6;6;4;5;4;7;3;2;2;5;3;7;5;5;5;9;7;6;2;10;7;o
F;19;9;7;7;5;3;4;1;3;2;5;1;2;2;5;5;3;4;2;3;4;5;4;2;5;2;5;1;3;2;5;1;5;1;1;5;1;4;4;5;6;7;4;7;7;4;5;7;7;7;7;10;10;10;9;9;9;8;6;10;o
F;20;7;6;4;1;4;3;4;4;3;2;4;3;2;4;4;5;3;4;3;4;3;3;4;3;3;5;1;4;2;4;2;5;3;1;4;3;4;4;2;5;6;6;7;5;4;2;2;4;5;2;6;4;5;3;8;0;0;0;5;o
F;21;7;6;5;7;3;4;2;3;2;5;2;2;3;4;5;2;3;2;1;2;5;5;2;3;2;5;3;4;2;5;2;5;2;2;4;3;4;4;5;5;5;7;7;6;4;6;6;7;5;3;8;8;6;7;10;7;6;10;8;o
F;22;7;6;6;5;3;4;1;1;1;4;1;1;1;4;4;4;3;3;1;3;4;3;3;4;1;4;1;3;2;3;1;3;1;2;4;3;5;4;5;2;6;6;7;6;6;5;5;5;3;7;7;10;7;7;8;6;4;2;7;o
M;26;3;3;2;2;4;2;4;4;3;2;4;4;4;4;1;5;1;2;4;2;2;2;3;2;2;2;4;2;4;3;4;2;4;3;2;4;1;2;1;2;1;3;1;1;1;1;4;2;2;1;3;6;3;0;0;0;0;0;0;o
F;29;6;4;4;3;5;4;1;3;4;3;2;4;3;3;4;4;2;2;3;4;2;2;2;3;1;3;4;3;1;3;2;3;5;1;3;4;2;5;5;5;5;5;4;3;5;3;2;3;2;2;5;7;5;7;5;5;4;7;5;o
F;23;5;4;4;2;5;4;4;3;4;2;4;4;3;3;3;3;2;4;2;3;4;3;3;3;4;3;4;3;4;3;4;2;4;5;3;3;3;5;2;4;2;5;7;3;2;2;1;2;5;2;3;8;7;3;2;1;0;3;3;o
F;21;7;6;4;4;5;4;3;3;3;3;2;3;2;3;3;4;3;3;3;4;3;3;4;3;3;3;4;3;4;3;4;3;4;3;3;4;3;6;4;7;7;7;6;6;5;4;3;4;5;5;6;7;7;6;5;4;3;5;5;o
F;24;6;4;4;4;4;5;4;1;4;4;1;2;1;2;1;3;5;1;2;4;3;5;2;4;1;4;3;4;1;4;1;3;3;1;3;3;2;6;5;6;6;7;6;5;6;1;1;2;1;3;2;10;7;7;5;0;0;10;5;o
M;20;7;6;6;6;5;4;1;3;4;4;1;1;1;3;5;3;3;1;1;1;4;3;1;3;1;5;1;5;1;3;1;4;1;1;4;1;4;5;4;6;4;6;6;6;4;4;4;4;4;6;7;9;8;9;8;8;5;0;6;o
F;28;3;4;3;4;7;4;3;3;5;4;1;2;1;2;3;1;3;1;3;2;4;4;3;4;2;3;3;4;1;4;2;3;3;2;3;2;3;3;3;4;6;7;6;5;6;2;2;3;2;2;1;4;5;7;3;5;3;6;3;o
F;21;7;6;5;3;3;4;3;3;3;4;2;3;1;3;5;3;2;2;4;5;2;3;5;4;2;3;4;3;4;3;3;3;3;2;3;4;2;4;3;5;4;5;3;2;2;2;2;2;3;2;8;9;6;7;5;6;5;9;7;o
